raceID,year,circuitID,name,date,start_time(UTC),humidity,precip,windspeed,temp,pressure
1,2009,1,Australian Grand Prix,2009-03-29,6:00:00,54.71666666666667,0.0,10.4,9.8,1020.6666666666666
2,2009,2,Malaysian Grand Prix,2009-04-05,9:00:00,72.26333333333334,0.0,6.266666666666666,29.333333333333332,1010.6
3,2009,17,Chinese Grand Prix,2009-04-19,7:00:00,83.76666666666667,0.0,30.566666666666663,19.466666666666665,1010.0
4,2009,3,Bahrain Grand Prix,2009-04-26,12:00:00,,,,,
5,2009,4,Spanish Grand Prix,2009-05-10,12:00:00,83.38,0.0,6.266666666666667,8.933333333333332,1021.8
6,2009,6,Monaco Grand Prix,2009-05-24,12:00:00,64.72666666666667,0.0,10.8,24.3,1020.0
7,2009,5,Turkish Grand Prix,2009-06-07,12:00:00,37.596666666666664,0.0,10.433333333333332,26.633333333333336,1014.2333333333332
8,2009,9,British Grand Prix,2009-06-21,12:00:00,67.24666666666667,0.0,13.3,16.0,0.0
9,2009,20,German Grand Prix,2009-07-12,12:00:00,82.68666666666667,0.964,16.133333333333333,17.266666666666666,1011.6
10,2009,11,Hungarian Grand Prix,2009-07-26,12:00:00,39.75,0.0,21.46666666666667,23.066666666666663,1020.6666666666666
11,2009,12,European Grand Prix,2009-08-23,12:00:00,32.026666666666664,0.0,10.6,32.733333333333334,1015.9
12,2009,13,Belgian Grand Prix,2009-08-30,12:00:00,63.8,0.0,14.066666666666668,14.266666666666666,0.0
13,2009,14,Italian Grand Prix,2009-09-13,12:00:00,50.333333333333336,0.0,2.3000000000000003,25.133333333333336,1013.8666666666668
14,2009,15,Singapore Grand Prix,2009-09-27,12:00:00,42.98666666666667,0.0,10.866666666666667,27.4,1009.6333333333332
15,2009,22,Japanese Grand Prix,2009-10-04,5:00:00,94.51,0.0,5.466666666666666,18.0,1020.9666666666668
16,2009,18,Brazilian Grand Prix,2009-10-18,16:00:00,85.27333333333333,0.0,13.466666666666669,21.133333333333333,1012.6666666666666
17,2009,24,Abu Dhabi Grand Prix,2009-11-01,11:00:00,22.37,0.0,9.566666666666666,33.76666666666667,1013.7999999999998
18,2008,1,Australian Grand Prix,2008-03-16,4:30:00,68.05666666666667,0.0,10.233333333333334,18.066666666666663,1016.8333333333334
19,2008,2,Malaysian Grand Prix,2008-03-23,7:00:00,94.25,0.0,0.6666666666666666,24.0,1010.0333333333332
20,2008,3,Bahrain Grand Prix,2008-04-06,11:30:00,,,,,
21,2008,4,Spanish Grand Prix,2008-04-27,12:00:00,15.44,0.0,8.233333333333334,12.066666666666668,1026.1
22,2008,5,Turkish Grand Prix,2008-05-11,12:00:00,58.25666666666666,0.0,11.266666666666666,15.433333333333332,1019.0
23,2008,6,Monaco Grand Prix,2008-05-25,12:00:00,90.73333333333332,2.707,20.6,17.5,1014.2333333333332
24,2008,7,Canadian Grand Prix,2008-06-08,17:00:00,62.44333333333333,0.0,5.433333333333334,28.066666666666663,1005.0333333333332
25,2008,8,French Grand Prix,2008-06-22,12:00:00,83.42333333333333,0.016,13.466666666666669,22.8,1016.8666666666668
26,2008,9,British Grand Prix,2008-07-06,12:00:00,86.75666666666666,3.549,18.9,14.833333333333334,999.2
27,2008,10,German Grand Prix,2008-07-20,12:00:00,53.73333333333333,0.0,21.0,19.433333333333337,1014.1
28,2008,11,Hungarian Grand Prix,2008-08-03,12:00:00,50.57,0.0,11.4,28.0,1016.2333333333332
29,2008,12,European Grand Prix,2008-08-24,12:00:00,53.57333333333333,0.0,12.4,29.4,1014.2333333333332
30,2008,13,Belgian Grand Prix,2008-09-07,12:00:00,88.34666666666665,0.416,20.9,12.7,0.0
31,2008,14,Italian Grand Prix,2008-09-14,12:00:00,90.12666666666668,0.509,12.2,14.766666666666666,1012.0
32,2008,15,Singapore Grand Prix,2008-09-28,12:00:00,62.71,0.0,21.5,20.2,1014.0666666666666
